,teamColor,label
144045,"스페인, 맨체스터 유나이티드",223
144712,"토트넘 홋스퍼, 벨기에 황금세대",358
145819,"독일, HOT",76
148193,"왓퍼드, 레스터 시티",260
148501,"아틀레티코 마드리드, FC 바르셀로나",249
149832,"첼시, 레스터 시티",325
149947,"HOT, GR",26
150370,"맨체스터 유나이티드, 18S",139
150381,"스페인, TC",220
150616,"인테르, 라치오",282
150860,"포르투갈, 울버햄프턴 원더러스",389
151308,"벨기에, 맨체스터 시티",180
151358,"프랑스, 레스터 시티",408
151393,"레알 마드리드, PSV",96
152016,"에버턴, 18S",256
152061,"토트넘 홋스퍼, NHD",349
152324,"토트넘 홋스퍼, 네덜란드",353
152552,"이탈리아, 로마",271
153539,"아스널, 18",230
154143,"바이에른 뮌헨, FC 바르셀로나",154
154491,"리버풀, 18",109
154857,"AC 밀란, 18S",11
158431,"로마, VfL 볼프스부르크",107
161671,"AC 밀란, 19TOTY",13
161962,"수원 삼성 블루윙즈, 대한민국",208
162135,"포르투갈, FC 바르셀로나",383
162139,"바이엘 04 레버쿠젠, 바이에른 뮌헨",171
162978,"대한민국, AC 밀란",63
162985,"프랑스 2기 황금세대, AC 밀란",393
163652,"스위스, 18S",209
163911,"인테르, 아스널",290
165372,"울산 현대 FC, 대한민국",262
166470,"바이엘 04 레버쿠젠, GR",167
166921,"나폴리, TB",48
169470,"아스널, 맨체스터 유나이티드",240
169829,"브라질 황금세대, AC 밀란",193
169968,"리버풀, HOT",115
170668,일본,292
171284,"울버햄프턴 원더러스, 18S",261
175026,"독일, TB",78
175201,"브라질, GR",200
175562,"프랑스, VfL 볼프스부르크",406
175563,"올랭피크 마르세유, VfL 볼프스부르크",258
176590,"파리 생제르맹, 18S",365
176605,"브라질, 바이에른 뮌헨",207
177657,"프랑스, 19TOTY",398
178032,"아약스, 18",243
178033,"네덜란드, 18",50
178214,"레알 마드리드, 19TOTS",89
178403,"레알 마드리드, TB",97
178418,"잉글랜드, 왓퍼드",308
178755,"토트넘 홋스퍼, PSV",350
178925,RB 라이프치히,32
319075,"브라질, HOT",201
319093,"이탈리아, GR",267
319143,"레스터 시티, GR",84
319185,"프랑스, 에버턴",416
319475,"리버풀, 독일",120
319522,"벨기에, 바이에른 뮌헨",181
319523,"벨기에 황금세대, 바이에른 뮌헨",176
319839,"파리 생제르맹, 벨기에",374
323976,"벨기에, HOT",178
324071,"토트넘 홋스퍼, 아틀레티코 마드리드",362
324271,"보루시아 도르트문트, 레알 마드리드",189
325002,"프랑스, 올랭피크 리옹",417
327195,"파리 생제르맹, TT",372
328022,"에버턴, TT",257
328110,"스페인, HOT",217
328292,"인테르, 18S",273
328578,"아틀레티코 마드리드, HOT",251
328622,"발렌시아 CF, GR",174
328628,"잉글랜드, 18S",295
329184,"인테르, 아르헨티나",289
329260,"잉글랜드, TT",301
329279,"잉글랜드, 아스널",306
329491,"아약스, 맨체스터 유나이티드",247
332285,"리버풀, PSV",116
332464,"포르투갈, TC",385
